road_id,elevation,elevation_min,elevation_max,slope,terrain_type
R0036,430.8397348116461,387.65710155451137,450.1489444864483,6.87,MODERATE
R0037,380.4613769173371,365.11355074135963,410.1153405280885,1.93,FLAT
R0038,359.7672114006384,312.35143181392647,404.66583233098,30.0,VERY_STEEP
R0039,418.4233026512157,378.3663699499636,456.9058395075825,5.19,MODERATE
R0040,394.0152493739601,346.361873662484,427.21372859536456,5.42,MODERATE
R0041,362.2038234844779,325.1391341423776,375.7639506037851,10.47,STEEP
R0042,399.517691011127,374.9815337311499,437.277375346698,4.78,GENTLE
R0043,353.43885211152184,305.9116052105329,370.09542348395945,30.0,VERY_STEEP
R0044,440.93204020787823,419.9093691555111,482.38673564634615,21.34,VERY_STEEP
R0045,375.8779981600017,352.5910972775324,395.88026850040785,6.18,MODERATE
R0046,416.2522284353982,378.2198917153286,442.93417756823425,30.0,VERY_STEEP
R0047,381.1711076089411,340.55845562792564,405.1899157016582,19.19,VERY_STEEP
R0048,402.0068021177811,354.8306627638149,446.35935870477533,14.68,STEEP
R0049,404.671027934328,386.4789315720796,419.7328062828643,1.66,FLAT
R0050,368.48544555255273,326.56552414378376,401.11124084794426,30.0,VERY_STEEP
R0051,446.95846277645586,407.4166206405773,462.64092715417837,16.74,VERY_STEEP
R0052,427.51328233611144,414.96150008596754,465.7051157813989,30.0,VERY_STEEP
R0053,443.9498941564189,418.46096850801064,490.15301926819814,6.89,MODERATE
R0054,439.4827350427649,418.17211676036095,466.867041197455,2.3,GENTLE
R0055,409.7899978811085,387.6103809069473,439.31368829170754,8.75,MODERATE
R0056,442.1874235023117,392.8695483201236,489.28433696162216,30.0,VERY_STEEP
R0057,358.84925020519194,323.1381536659948,389.6889057511662,30.0,VERY_STEEP
R0058,369.59828624191454,330.89123993017455,399.102223763897,10.43,STEEP
R0059,354.5227288910538,305.45802339845346,387.655892999226,30.0,VERY_STEEP
R0060,382.53303307632643,357.4449617780209,420.10222253084453,1.26,FLAT
R0061,388.8677289689482,346.79412223083597,403.14306397242945,30.0,VERY_STEEP
R0062,377.1349031773896,349.7536646452098,419.97932428705025,4.35,GENTLE
R0063,432.87375091519294,388.0924040425938,460.2939520133233,10.96,STEEP
R0064,385.6753326693589,368.44903101690676,398.56927306525836,1.9,FLAT
R0065,378.09345096873807,330.1860038861669,419.5407577366666,0.41,FLAT
R0066,404.2696083158248,385.51873997938964,429.3476071832757,0.2,FLAT
R0067,364.09242249747626,341.043602218239,378.1071223012784,0.69,FLAT
R0068,430.219698075404,389.9720087111328,465.570859657134,2.46,GENTLE
R0069,357.45506436797706,331.7048587053608,402.6603185053227,8.89,MODERATE
R0070,448.68869366005174,414.3602385893939,494.1988340366112,10.88,STEEP
R0071,427.22447692966574,399.44153688688857,475.53101592202466,30.0,VERY_STEEP
R0072,369.87156815341723,330.17677066982594,414.57978654408475,30.0,VERY_STEEP
R0073,350.55221171236025,331.4189616176158,360.6378484861793,4.19,GENTLE
R0074,431.5461428454834,419.20782335600836,456.755789502019,0.68,FLAT
R0075,420.6857343847617,398.68855848583905,463.4274375809818,2.34,GENTLE
R0076,422.90071680409875,393.92837020936156,447.55083704403773,0.7,FLAT
R0077,427.12703466859455,410.4062325808874,461.1889749237828,1.51,FLAT
R0078,357.40446517340905,333.2125735871535,391.6571430683903,0.28,FLAT
R0079,385.8465728544273,359.84725212268455,410.4475850159802,0.62,FLAT
R0080,361.58690595251295,349.291232204982,407.76586304376445,1.2,FLAT
R0081,436.3103425875594,402.9780526601912,466.43947640300405,1.24,FLAT
R0082,412.3298126827558,366.9560755639043,440.92118092025584,1.46,FLAT
R0083,383.0898024852649,367.0200859671428,432.9903523117407,0.52,FLAT
R0084,356.35583502860237,322.4435144925418,386.09584959150703,0.5,FLAT
R0085,381.0982321715662,344.5086639751324,398.2341622487095,1.12,FLAT
R0086,382.5183322026747,355.74494498590315,413.0411091172122,0.81,FLAT
R0087,422.9606178338064,384.91671433923557,465.5212872546036,1.12,FLAT
R0088,413.7557471355213,387.3264853958808,454.83016021145255,22.43,VERY_STEEP
R0089,438.7212742576327,408.53578273853526,480.2645448619715,20.32,VERY_STEEP
R0090,397.2214925161949,386.92737073401787,435.5424438761114,6.6,MODERATE
R0091,361.9594245938302,324.2906200284426,382.1281377564977,13.91,STEEP
R0092,421.3244787222995,384.8707715645105,465.80784215590876,12.59,STEEP
R0093,426.07850486168974,414.54246976863595,471.81624347674034,1.42,FLAT
R0094,406.1277197569496,381.3977154611443,423.89382762169157,4.1,GENTLE
R0095,427.0967179954561,377.93544436378943,442.31494345751184,1.62,FLAT
R0096,399.37955963643907,372.5500971336944,448.4037583800035,30.0,VERY_STEEP
R0097,402.27328293819943,372.19546673292575,447.0062414842141,2.04,GENTLE
R0098,392.75410183585495,346.3568955094662,438.48354772425284,2.3,GENTLE
R0099,352.5419126744095,313.85143763977925,397.9969680593853,3.98,GENTLE
R0100,360.78914269933045,327.5063374543615,392.4566156606796,2.13,GENTLE
R0101,353.1429185686734,311.2307313150305,388.9989880353054,4.96,GENTLE
R0102,413.641041126378,369.0663904681391,445.45555521172366,25.08,VERY_STEEP
R0103,381.43559810763264,353.160075238142,393.4838520752458,30.0,VERY_STEEP
R0104,400.85706911647026,371.8527345191968,440.6771925305812,1.83,FLAT
R0105,440.7566473926093,415.31460996653584,470.9699287260445,30.0,VERY_STEEP
R0106,374.9292229148875,326.26097731414905,410.83758590649666,26.15,VERY_STEEP
R0107,391.03829230356297,353.15164213194896,421.1438845025844,12.93,STEEP
R0108,425.55511385430486,412.226191205982,455.2275667472031,5.97,MODERATE
R0109,372.87981654916223,328.3614316166415,389.7513809282729,1.02,FLAT
R0110,357.6979909828793,328.47559334942855,378.8465395885252,0.84,FLAT
R0111,378.9751452913768,366.2249890344773,395.32925296913504,8.08,MODERATE
R0112,366.12212872540044,334.133438518868,383.94878055041414,8.07,MODERATE
R0113,442.9697652342573,416.28319407522923,491.8888604510695,17.19,VERY_STEEP
R0114,430.8120379564417,385.7020617619367,446.9365757873297,8.58,MODERATE
R0115,413.34037565104234,395.1805915066668,434.11119262325064,29.06,VERY_STEEP
R0116,437.1460590187718,394.08747463908446,470.76964532831516,20.2,VERY_STEEP
R0117,430.3672076899114,398.0596600424933,464.7743507393771,16.36,VERY_STEEP
R0118,368.6570058886036,356.4725937600648,384.8159710783567,4.77,GENTLE
R0119,439.2558998489978,390.3820877959784,481.00459688040627,30.0,VERY_STEEP
R0120,403.9342241915651,373.42961442743706,445.3423389080781,16.27,VERY_STEEP
R0121,430.74401551640625,409.10894134714295,450.23672368456187,4.25,GENTLE
R0122,439.6091299923493,410.832856312779,461.15578209936774,4.5,GENTLE
R0123,381.8003474971864,337.4860361564869,429.3198621155663,5.61,MODERATE
R0124,361.0051924527677,338.80906747736515,404.0320502919468,15.03,VERY_STEEP
R0125,372.7935162541942,355.08646039472615,410.70539757669513,10.88,STEEP
R0126,392.7107788626256,377.54792898539034,406.0001077230496,9.4,MODERATE
R0127,431.8014765922493,409.8871006566408,458.5320398283523,30.0,VERY_STEEP
R0128,436.07305832563435,394.8711348440326,468.44513320870743,30.0,VERY_STEEP
R0129,350.69521305311906,321.8301584453086,368.19166457247013,1.46,FLAT
R0130,401.0747302577566,381.97546611001496,429.0037935420856,7.27,MODERATE
R0131,391.7411003148779,375.09370033048793,425.7821354144255,7.56,MODERATE
R0132,372.210781047073,348.90160198665785,395.305848251689,30.0,VERY_STEEP
R0133,361.98653673336827,314.3895618179399,403.2243294913878,2.68,GENTLE
R0134,383.7615171403628,360.0404486367618,427.379500405915,3.29,GENTLE
R0135,444.2909703912519,394.76600735306647,467.23534916861473,3.47,GENTLE
R0136,382.3202932020755,352.91107497146123,425.8665793817738,2.83,GENTLE
R0137,401.8790621743366,384.71250544273056,416.0221248184572,2.06,GENTLE
R0138,420.30189588951777,374.6562922177774,463.81105983442404,4.77,GENTLE
R0139,386.36296023792937,357.9487453125363,402.47297750463406,2.02,GENTLE
R0140,447.1782082720961,408.7913545319151,460.4952943724851,7.34,MODERATE
R0141,446.24472949421113,396.8962661658451,481.9157456718516,30.0,VERY_STEEP
R0142,375.1782295825364,363.17121556973746,404.05572421274815,2.09,GENTLE
R0143,399.72485058923854,385.8570681977359,446.04047460575185,3.03,GENTLE
R0144,380.087830981677,341.2695613231667,404.61539882531093,0.77,FLAT
R0145,378.48404943774676,357.2110493059279,399.9701399752519,1.12,FLAT
R0146,353.6886947354533,336.31663885744933,383.7180909812212,1.8,FLAT
R0147,410.9564333979897,399.38195820520053,439.19428082873617,1.83,FLAT
R0148,400.26790232288613,389.3940338434381,424.0450241715737,1.61,FLAT
R0149,355.1478751249989,314.16845100020726,392.89752707293206,3.54,GENTLE
R0150,377.86464642366116,362.4873093288792,418.2471197802175,3.42,GENTLE
R0151,440.8265885966654,412.11776395781936,484.94594735787086,4.13,GENTLE
R0152,373.9561890666972,339.7203164595179,422.87045325511093,9.0,MODERATE
R0153,364.48948720912233,337.3554151863685,385.1557348944225,1.6,FLAT
R0154,398.9452760277563,387.86100993430694,437.58901532735473,5.09,MODERATE
R0155,448.56504541106005,407.2249853075437,474.33537483088986,1.98,FLAT
R0156,374.20552715115,363.78499816948386,411.28880602919435,8.62,MODERATE
R0157,417.2135547405879,376.73795896548853,446.2528223545567,20.93,VERY_STEEP
R0158,426.16196153287177,380.42978178134683,475.91288564358905,15.64,VERY_STEEP
R0159,373.76375439924,346.4501575569531,412.91983983087,13.34,STEEP
R0160,422.82163486118594,391.399935937274,470.92128687855893,7.12,MODERATE
R0161,386.7783132719253,357.6989775672192,430.1770952511727,0.69,FLAT
R0162,413.23058305935797,387.6622383144204,459.3466235058928,0.69,FLAT
R0163,413.3529710760895,367.8559896612751,455.9297389646765,30.0,VERY_STEEP
R0164,403.57746840747586,357.82012798067626,431.94383362251233,8.05,MODERATE
R0165,359.0289770054408,335.5963224197794,379.1005151393162,2.24,GENTLE
R0166,433.5302495589238,398.9274593983359,458.34305657694466,1.04,FLAT
R0167,382.0780064971736,335.00170401133903,392.8874558027716,1.01,FLAT
R0168,368.65185103998544,320.1695110823314,399.6115777385721,3.81,GENTLE
R0169,354.07751415547636,323.71915253859447,384.2798261662927,2.51,GENTLE
R0170,409.08929431882416,380.9763021074511,440.0993129120437,0.98,FLAT
R0171,417.7564361842282,396.6086635470872,466.7176851831108,27.12,VERY_STEEP
R0172,351.6587828927856,303.30390796516923,398.1169430309792,16.89,VERY_STEEP
R0173,401.2093058299281,385.4967336510134,417.67781696313244,11.49,STEEP
R0174,372.6495775197938,339.4563944778848,397.4048783820294,11.14,STEEP
R0175,414.51727904094497,393.21526834019943,441.47552621947546,30.0,VERY_STEEP
R0176,367.4366429004991,346.27631128658726,391.85795961456506,6.19,MODERATE
R0177,419.0937738102466,392.89503031519905,461.03361235440315,2.93,GENTLE
R0178,388.6735346300537,338.7218171974275,419.6350414247572,3.48,GENTLE
R0179,443.67299887367346,431.4743466000806,476.5569915525385,2.03,GENTLE
R0180,363.75209441459936,330.6104216864581,407.87263677411636,7.3,MODERATE
R0181,384.1066351050259,370.80374878361476,426.3437612416402,3.57,GENTLE
R0182,361.3473521240589,345.16651892443815,376.6358130368709,2.38,GENTLE
R0183,442.4693618278563,414.88684415694036,481.0259451912017,3.36,GENTLE
R0184,437.7339353380981,407.31553008424044,465.15138049417953,4.63,GENTLE
R0185,375.7941627715156,355.44246643693464,397.5801188940156,2.58,GENTLE
R0186,415.9984046034179,393.34011936844126,427.9991574395053,1.45,FLAT
R0187,431.7222200201216,418.24353920988426,461.21220243393964,30.0,VERY_STEEP
R0188,405.52008115994624,383.39128980617625,429.7375483889275,4.42,GENTLE
R0189,402.96505783560065,354.30272026037886,423.0255794226567,2.1,GENTLE
R0190,374.18522909004514,326.3969338231459,411.97209827392345,5.97,MODERATE
R0191,359.3102767805899,335.9151451751105,400.08969227321336,30.0,VERY_STEEP
R0192,439.7215757953327,406.8874183441822,459.51315655650967,15.2,VERY_STEEP
R0193,440.04180571633304,393.65799007189526,452.0197031835069,6.71,MODERATE
R0194,413.3101457273268,403.06279282169095,457.2602537499362,5.72,MODERATE
R0195,383.90297910487004,341.47563629136636,394.3013687530422,2.68,GENTLE
R0196,384.9209574612661,336.98617534970936,432.405457218125,24.57,VERY_STEEP
R0197,422.59556788702395,408.94253851368165,457.70036284633215,12.13,STEEP
R0198,439.7110259952577,423.2531185539409,462.58489140331056,30.0,VERY_STEEP
R0199,438.70864242651174,390.27879031565755,458.56775880958116,29.52,VERY_STEEP
R0200,427.9875545857624,396.4859488401485,438.3477811563414,21.74,VERY_STEEP
R0201,414.20316461542876,403.63529923655983,433.6220212958639,21.85,VERY_STEEP
R0202,358.4139964995049,338.10871654896374,373.92312856019055,23.75,VERY_STEEP
R0203,366.1628714094614,338.165124438707,400.6495202383872,23.47,VERY_STEEP
R0204,439.85541885270794,402.13906241171725,456.51724239646,30.0,VERY_STEEP
R0205,410.642905965959,371.31649084048706,441.78809946742376,30.0,VERY_STEEP
R0206,350.919705161663,301.10284464464473,384.5243620554418,8.48,MODERATE
R0207,360.1471542866032,338.64670631125284,382.0688222204798,11.26,STEEP
R0208,416.3501769108056,384.8213728360666,427.7527748715543,2.41,GENTLE
R0209,350.50615838462187,319.17321647023766,361.9963136091897,6.62,MODERATE
R0210,366.08080514174986,339.85499476386036,377.13469842950656,30.0,VERY_STEEP
R0211,404.87337893665864,388.10690318296184,444.4383656221205,14.37,STEEP
R0212,419.18951976926934,370.0912572419156,441.90990796184127,12.21,STEEP
R0213,415.19612595026007,371.06343848359666,457.0481333889666,8.24,MODERATE
R0214,372.42693094605596,342.49360981428646,399.6962438997699,5.89,MODERATE
R0215,421.21792213475356,387.08810522739236,449.33784616795214,5.89,MODERATE
R0216,373.72490874968,354.6344666072935,404.24021285006296,30.0,VERY_STEEP
R0217,382.5399698159268,350.7884870002569,421.06122807093095,3.23,GENTLE
R0218,424.64914051180244,386.8503351869434,445.5892551449907,1.4,FLAT
R0219,414.9632899047215,384.35660876925795,429.8267838860626,1.62,FLAT
R0220,434.9223410494178,385.31093422602015,467.16463445707626,5.46,MODERATE
R0221,415.7612892300343,381.3076229801253,438.8403941597439,0.83,FLAT
R0222,406.83086033354715,381.9919118298604,434.53051288026865,2.2,GENTLE
R0223,359.36747678280926,318.4813956781757,395.24534511630145,30.0,VERY_STEEP
R0224,386.77158030594336,369.95307984267765,416.5366099515942,3.67,GENTLE
R0225,376.52023676817254,351.13960421992186,411.3313894522063,11.78,STEEP
R0226,374.39896433790835,350.5206063228049,406.1669644224535,6.84,MODERATE
R0227,447.30105547524454,420.02877167093345,486.8929103526885,13.98,STEEP
R0228,389.30977246667607,348.03857942952703,427.5472371751409,0.97,FLAT
R0229,439.20465551771133,409.83773423117503,470.5722511900561,24.61,VERY_STEEP
R0230,413.1138625997263,371.3532845890878,450.2699834341146,30.0,VERY_STEEP
R0231,429.48113035416486,396.4215742285702,474.4235144450694,12.41,STEEP
R0232,400.26370931051923,376.580931924217,427.55456082204597,2.21,GENTLE
R0233,407.6903884626359,365.291238715297,434.20091137258765,7.58,MODERATE
R0234,399.2517693818864,379.72018255976275,439.8215942159816,1.7,FLAT
R0235,369.52429877980444,350.5489795878126,402.8264522614842,2.36,GENTLE
R0236,422.2452115261505,392.0650945639571,435.08548273505403,30.0,VERY_STEEP
R0237,378.07723624408555,357.643266405602,423.7617168717288,27.2,VERY_STEEP
R0238,352.4315966431454,342.06811524509675,363.662920732651,30.0,VERY_STEEP
R0239,414.54722959071677,378.6153284987647,454.4830838391065,30.0,VERY_STEEP
R0240,367.7110679407049,337.267315081809,408.0628336488774,30.0,VERY_STEEP
R0241,444.04585843529145,416.225145855565,492.1703018465687,15.92,VERY_STEEP
R0242,445.39285770025873,396.7141171155261,457.55823403635156,6.88,MODERATE
R0243,441.48643902204486,408.6384716635283,475.3607134534245,10.96,STEEP
R0244,387.0158700255444,342.47860691396903,414.12949285062655,8.96,MODERATE
R0245,351.54566165288674,335.96765220468035,374.7709798472684,3.95,GENTLE
R0246,442.8318562587725,410.06359773359543,456.44459867073545,0.45,FLAT
R0247,392.81841483173145,348.0992297624953,425.3245796185838,0.9,FLAT
R0248,446.66548190436697,413.34125161317104,475.8271109313515,0.58,FLAT
R0249,446.3619977089253,407.64143058384525,460.54417603496626,8.37,MODERATE
R0250,435.300945546736,410.4192028342477,469.80052583061934,8.43,MODERATE
R0251,379.4448892069586,365.74690852547593,418.96301401707615,11.49,STEEP
R0252,388.5097728601925,360.1937610551097,429.20090490233844,30.0,VERY_STEEP
R0253,435.1136671516857,409.3344915181314,481.3285946821828,4.44,GENTLE
R0254,381.69220051562775,337.0097932204699,408.0710301911788,30.0,VERY_STEEP
R0255,366.94927466860923,347.18946257451034,415.0721854134947,30.0,VERY_STEEP
R0256,405.680126245835,357.0107571444307,450.2973024491425,7.66,MODERATE
R0257,443.6154774160781,395.2899526238982,465.4755402570356,2.6,GENTLE
R0258,419.6029796674973,399.69771394463976,435.97430116147564,1.35,FLAT
R0259,407.0061170089365,383.08403878984365,434.421692854057,9.62,MODERATE
R0260,359.71764937707684,313.8954197421214,385.7935976953155,8.83,MODERATE
R0261,411.50072266991697,362.8358338340727,444.52949488316517,14.41,STEEP
R0262,449.0053850104263,421.2678208969846,482.3408343035362,11.47,STEEP
R0263,364.0084015236524,341.1685196980165,404.00788089885145,0.5,FLAT
R0264,401.8329652363737,370.78920470631203,432.2285631645981,2.89,GENTLE
R0265,437.7373071927955,400.22653893816613,451.93021283042617,1.22,FLAT
R0266,424.07686177542047,403.1378811604213,468.4085151975447,3.69,GENTLE
R0267,419.7015740995268,380.2426471147639,442.09215742693425,4.22,GENTLE
R0268,420.2484083987109,408.1821141141253,469.1003068109746,8.84,MODERATE
R0269,385.9491151219755,373.9773354113989,400.6635194691663,0.89,FLAT
R0270,379.35918442644936,353.90767622062754,427.6892313157495,8.41,MODERATE
R0271,430.9361155478514,406.7971878654226,444.57658782315207,2.3,GENTLE
R0272,431.0113394679181,408.386010853232,450.2527849858005,2.55,GENTLE
R0273,436.70723185801035,407.06644135125396,448.570429541472,2.43,GENTLE
R0274,441.3240552556471,418.4947119631843,479.5285811212069,30.0,VERY_STEEP
R0275,401.1342398860938,383.4439231473701,445.14618934896544,30.0,VERY_STEEP
R0276,400.15162946872,377.77284750517595,427.5144727413592,30.0,VERY_STEEP
R0277,429.82951789667754,380.83334698426813,476.97040089837475,30.0,VERY_STEEP
R0278,414.99639307777653,388.5518563979826,448.6083559480005,30.0,VERY_STEEP
R0279,420.19668772577035,392.4081766514369,455.39697314363127,24.25,VERY_STEEP
R0280,429.5792669436101,396.5174673455645,473.3960350116409,30.0,VERY_STEEP
R0281,439.0005341817566,389.6669034451876,460.8725423838302,30.0,VERY_STEEP
R0282,383.79951568515355,364.135464627723,407.9701445382586,30.0,VERY_STEEP
R0283,387.5582952639944,350.3070108426971,433.79637203178015,30.0,VERY_STEEP
R0284,359.3981939840869,320.75880624241796,405.4367338256375,30.0,VERY_STEEP
R0285,407.8280140996174,373.5350374278948,456.88732514765223,3.33,GENTLE
R0286,353.5942273796742,340.05109379420844,399.66776003734105,2.25,GENTLE
R0287,396.559801813246,359.48491078014297,411.65468325458045,7.93,MODERATE
R0288,404.2644634707577,391.7006750293107,447.2134349162372,4.36,GENTLE
R0289,378.65412521282843,344.80841923083256,405.0476643372122,1.24,FLAT
R0290,409.08332605690106,369.50007896803135,458.71538029473857,21.13,VERY_STEEP
R0291,353.0500249939049,334.6112293691069,381.941263567057,0.75,FLAT
R0292,353.7348188749214,310.06993857321044,385.88826217501025,1.2,FLAT
R0293,432.26005606596584,421.0459038446457,463.4510526762378,0.96,FLAT
R0294,386.0190641411263,342.26654959479407,408.8885453354574,0.59,FLAT
R0295,362.7060512651885,334.29288923947786,375.7069348209052,8.09,MODERATE
R0296,402.22432600548046,383.5208084082147,448.0503752215572,30.0,VERY_STEEP
R0297,426.9993553098611,411.64822951010234,469.10638781091257,0.51,FLAT
R0298,371.58210274968434,323.44981604638946,387.1631739720711,1.82,FLAT
R0299,412.28904758190004,399.38242407865374,453.35977843590297,6.09,MODERATE
R0300,358.5347464993768,340.5710097019398,393.5686131414012,9.19,MODERATE
R0301,355.1681721168608,331.2552782195389,381.5339236335657,7.16,MODERATE
R0302,403.1354631568148,368.32606919836996,423.2963091206373,0.82,FLAT
R0303,404.06351216101064,372.2714687499667,448.45266350109995,2.02,GENTLE
R0304,413.7429901498207,398.7172504533281,451.7505205215828,1.07,FLAT
R0305,422.6091333722662,401.0200140227376,454.51872975103163,1.81,FLAT
R0306,447.5852079462535,428.03513710281254,481.96794930219204,4.32,GENTLE
R0307,401.63003483011954,383.08832065050586,415.2726821134068,1.43,FLAT
R0308,382.2956472941246,355.8498738349251,411.2524377305723,2.98,GENTLE
R0309,429.51861947687036,391.35736137320407,447.26663118829845,30.0,VERY_STEEP
R0310,377.0832251262074,358.385107837518,395.41857228656045,1.77,FLAT
R0311,393.89714207056363,369.2299868824444,430.3493005620383,13.27,STEEP
R0312,357.8456381342266,332.2089410605801,404.29588420759814,18.03,VERY_STEEP
R0313,352.53507434154574,303.47681316412934,378.6853387606796,2.91,GENTLE
R0314,446.2648414677925,398.07818719262974,464.5748123882801,14.27,STEEP
R0315,433.59801205122056,391.5925087411375,469.54788954068675,6.89,MODERATE
R0316,419.5974206093698,399.9310637766024,464.4449024633825,3.65,GENTLE
R0317,390.895294441427,378.1738018777602,430.8280464863266,5.76,MODERATE
R0318,367.32943200708456,344.6532664982596,412.07972122854807,4.39,GENTLE
R0319,365.6437042671086,344.97192228975535,397.1058911075406,2.25,GENTLE
R0320,375.02428981645954,344.78725781060376,415.0993395912272,3.07,GENTLE
R0321,404.92266647061206,363.81355006790034,420.5252488449695,6.8,MODERATE
R0322,421.4595922700062,377.1266747148519,445.39057688453386,30.0,VERY_STEEP
R0323,416.0197376717731,372.2251742553528,441.601704251034,1.98,FLAT
R0324,377.99338969459427,353.60636724567155,408.44521954443564,10.28,STEEP
R0325,445.4865280663194,407.9971543278921,492.64958247659234,9.3,MODERATE
R0326,423.7896916695768,401.276323768608,468.7615540784638,13.3,STEEP
R0327,405.4354052511401,392.9991835217328,420.81642494270744,1.76,FLAT
R0328,411.1720746234352,373.10946399931754,428.08366069873375,30.0,VERY_STEEP
R0329,391.960006242779,381.5669041399875,416.2656282263355,8.0,MODERATE
R0330,374.77309895011575,348.4057954517762,396.4028535857427,5.86,MODERATE
R0331,385.5972678651262,362.42209709304313,420.1881059913767,4.31,GENTLE
R0332,425.7846110464369,388.0495095056828,471.8956529570187,3.84,GENTLE
R0333,351.4393488629756,310.78952995256043,399.931010529879,12.12,STEEP
R0334,361.60726405069164,339.4434786118403,397.7513821521007,4.03,GENTLE
R0335,354.60026420217525,312.1351836243811,398.1266322582187,30.0,VERY_STEEP
R0336,354.072880231897,332.31620981169965,385.08096824112886,30.0,VERY_STEEP
R0337,435.5460584011007,407.69300400163826,453.8791362755023,30.0,VERY_STEEP
R0338,420.3657859380024,381.285044857437,451.3533224217415,1.75,FLAT
R0339,397.4173829087325,359.700573739741,429.62068696623857,6.18,MODERATE
R0340,359.78341606510014,310.28867717261215,399.4817186336424,7.89,MODERATE
R0341,399.16158751168325,380.155146543046,417.95690709997723,3.96,GENTLE
R0342,397.3471770780566,360.8544605364733,422.07959236152584,30.0,VERY_STEEP
R0343,367.3201869910015,332.9329106599704,391.88128575958416,14.99,STEEP
R0344,393.3851649237973,346.7812267441961,441.7627487534439,5.82,MODERATE
R0345,389.85047343973736,373.59598777394234,417.6082718528061,4.09,GENTLE
R0346,411.58500980522166,371.5130832617443,451.78876849714754,3.63,GENTLE
R0347,413.5093650867644,380.7786204360136,453.5418203417419,30.0,VERY_STEEP
R0348,354.53040097720447,333.54376618568824,375.1521683693341,0.62,FLAT
R0349,387.46126146264714,358.48386489676017,420.33604903751643,30.0,VERY_STEEP
R0350,412.5859915714236,389.2349276886317,458.35810730416955,2.11,GENTLE
R0351,400.3136258580088,367.14108974647036,429.32153463628674,1.22,FLAT
R0352,435.64898411883223,390.0889596862456,483.4536844125341,30.0,VERY_STEEP
R0353,415.8693631618945,383.09716378540645,434.44769233486096,6.1,MODERATE
R0354,366.29344270814295,331.0245459750796,379.2598069391042,1.24,FLAT
R0355,357.056874740043,326.30696085545463,402.71502966583296,1.15,FLAT
R0356,414.2419278206316,402.19530756281256,458.14917573912027,18.21,VERY_STEEP
R0357,352.6511310541622,333.3367887791184,402.354726091516,9.93,MODERATE
R0358,408.5775581273463,378.897488950063,445.75329765184335,0.63,FLAT
R0359,444.02302414249573,421.61361279270756,491.4905412091817,0.65,FLAT
R0360,407.5474177875879,390.27687387714013,450.62537879095237,4.77,GENTLE
R0361,388.8169926206522,358.65167894391465,432.59404594545566,30.0,VERY_STEEP
R0362,414.32882184423534,391.41643010632134,447.09448466240605,30.0,VERY_STEEP
R0363,395.82528904915165,375.50098332221506,421.1198729658201,30.0,VERY_STEEP
