node_id,latitude,longitude
N001173,2887495.126936,361215.186448
N001174,2891227.669688,362445.60441
N001175,2891978.170917,363965.176746
N001176,2893234.534635,365583.379999
N001177,2894870.051178,368797.612252
N001178,2894462.360377,370775.27936
N001179,2894214.630952,369540.429844
N001180,2895335.117974,368709.061511
N001181,2896196.844142,381624.00576
N001182,2896099.890047,381870.408892
N001183,2896724.392474,375774.815468
N001184,2896660.657286,375758.263951
N001185,2896722.8375,376711.147315
N001186,2896396.271003,380404.502898
N001187,2896038.257116,381885.059723
N001188,2896070.205887,381877.464745
N001189,2896282.103935,374853.318027
N001190,2896319.352861,375174.569748
N001191,2893856.997752,373427.946988
N001192,2893983.294568,373906.927296
N001193,2892879.594623,372959.887219
N001194,2892702.259957,373654.928987
N001195,2889167.002202,370876.800892
N001196,2896640.415671,375751.683613
N001197,2896306.079248,375721.855691
N001198,2896290.669736,375724.276749
N001199,2895682.184253,375828.476733
N001200,2896067.798079,375145.852977
N001201,2894383.541063,374680.319095
N001202,2896288.612766,374665.588198
N001203,2896422.406655,374664.222039
N001204,2896894.746665,374313.555721
N001205,2896587.341423,374152.25274
N001206,2897243.777002,374691.916086
N001207,2896840.375621,374747.97531
N001208,2896576.59768,374628.071946
N001209,2897137.172073,374430.42803
N001210,2896876.234282,375002.777921
N001211,2897110.960653,374931.712567
N001212,2897475.329912,375794.699423
N001213,2897351.810598,375370.562072
N001214,2893928.627279,374198.279138
N001215,2894834.837165,374271.68239
N001216,2894867.439004,373741.933169
N001217,2761536.200251,384046.484963
N001218,2760603.824003,385090.928777
N001219,2753370.187374,385407.572917
N001220,2753735.50693,385282.33841
N001221,2754691.315024,384986.856165
N001222,2755147.649694,384953.324462
N001223,2754124.405698,386007.239301
N001224,2753836.623841,386015.438757
N001225,2889910.405167,374874.582098
N001226,2888651.826994,374968.845324
N001227,2888639.882995,374974.901001
N001228,2891895.950217,376258.765937
N001229,2890288.180622,374441.440876
N001230,2888584.387704,378833.755631
N001231,2889203.929892,378681.18279
N001232,2889862.114443,378727.778629
N001233,2889889.263551,378725.481849
N001234,2891959.121418,375757.353271
N001235,2892313.444788,378703.111912
N001236,2892649.58714,374135.484002
N001237,2891962.909655,378704.389336
N001238,2834904.536016,388262.612454
N001239,2836141.62459,388975.202035
N001240,2837492.531911,388936.534941
N001241,2837718.752931,389409.640329
N001242,2838337.691965,389588.528323
N001243,2839761.771686,390145.717562
N001244,2839777.715381,390001.97537
N001245,2845255.177688,388783.378746
N001246,2846985.992612,388130.799582
N001247,2848765.859755,388426.304276
N001248,2891334.313905,401276.822364
N001249,2898274.768424,402257.481818
N001250,2896605.348511,426689.662524
N001251,2895641.143392,430087.651697
N001252,2897727.368943,431301.398049
N001253,2898359.880567,435324.785571
N001254,2896221.535911,434987.926646
N001255,2894204.636492,430931.530482
N001256,2892993.37781,432340.678758
N001257,2893597.398419,433764.761397
N001258,2894376.708448,435343.932783
N001259,2894453.643086,433587.524725
N001260,2894759.281566,434929.872107
N001261,2895733.620346,434919.727009
N001262,2898873.592719,434328.834814
N001263,2888222.507922,358916.971904
N001264,2887922.557291,359172.233088
N001265,2753930.144345,385000.506543
N001266,2754245.270955,385100.973543
N001267,2753463.426483,385916.256287
N001268,2753524.568753,386506.530565
N001269,2754275.689287,385756.399752
N001270,2746268.833622,479978.762768
N001271,2746104.464027,479037.232383
N001272,2751014.008751,457629.764861
N001273,2749321.46774,448776.239197
N001274,2749204.003031,460204.855797
N001275,2749287.076286,460084.781939
N001276,2896777.97595,375794.197996
N001277,2897053.034483,374243.45065
N001278,2895503.290196,373158.994033
N001279,2856536.426602,408705.948543
N001280,2860335.543243,410494.422908
N001281,2761514.573078,386760.721512
N001282,2761999.834925,384888.216539
N001283,2824750.623177,381916.800032
N001284,2826238.027563,383637.114401
N001285,2794102.188861,356839.671488
N001286,2796228.540189,356706.489277
N001287,2895657.287133,375823.370835
N001288,2895815.412728,375618.864072
N001289,2895674.15303,373718.434399
N001290,2895487.707026,373189.328036
N001291,2895664.927555,375836.407775
N001292,2895466.864797,376031.252316
N001293,2895887.641827,374185.376777
N001294,2896480.371051,374651.938843
N001295,2895370.706091,368695.227435
N001296,2895038.557464,368318.944137
N001297,2894510.903473,371657.420451
N001298,2893955.357182,369470.35642
N001299,2889179.566984,376967.551033
N001300,2889573.503851,378741.837753
N001301,2889588.114977,378923.75003
N001302,2888863.591321,380617.538909
N001303,2890417.329155,380611.008295
N001304,2827273.21144,390300.193698
N001305,2828070.307949,389474.118836
N001306,2893995.348561,378221.203271
N001307,2895888.331127,377672.52397
N001308,2896571.469701,378302.91797
N001309,2895388.523873,378582.63798
N001310,2890535.967987,378672.81727
N001311,2891093.107252,377416.714172
N001312,2892669.657586,378641.873565
N001313,2893898.81445,376690.038764
N001314,2894338.676794,376829.134474
N001315,2894346.299821,376832.435561
N001316,2896568.714844,380433.786847
N001317,2897535.490986,380054.556445
N001318,2892404.909615,369751.64921
N001319,2889574.292354,369692.740667
N001320,2892988.48522,368784.741199
N001321,2893692.453127,369759.648149
N001322,2893366.933158,370479.507515
N001323,2893799.419206,370416.190733
N001324,2893971.636159,370204.747127
N001325,2892976.064267,369667.675847
N001326,2893349.179528,370423.615668
N001327,2893942.459957,369757.536607
N001328,2893006.279075,369650.463191
N001329,2891475.31031,367458.925815
N001330,2892627.682429,368881.016578
N001331,2893401.984201,370439.318201
N001332,2892997.364508,369670.058999
N001333,2896791.789326,375760.649183
N001334,2897008.243126,375760.243719
N001335,2896994.653456,375568.184329
N001336,2897147.692938,375120.266462
N001337,2897283.286128,375099.98486
N001338,2889583.956213,378892.142005
N001339,2892709.897241,378733.595576
N001340,2892856.09299,378955.699836
N001341,2892865.081036,378974.238516
N001342,2889584.520627,378904.097002
N001343,2893947.577863,375282.745938
N001344,2894860.831373,375309.260084
N001345,2893054.851503,379309.059908
N001346,2891975.015462,374236.060759
N001347,2828653.157142,389236.789081
N001348,2828125.379739,389532.551238
N001349,2828509.70215,388859.010024
N001350,2827317.558437,390577.9866
N001351,2828578.567863,388220.893779
N001352,2828177.77579,388545.397572
N001353,2828628.309633,391506.812614
N001354,2829624.205302,391510.639636
N001355,2828553.026225,388226.275141
N001356,2828511.593047,388859.377391
N001357,2827506.376167,387083.33872
N001358,2828127.621522,387389.662358
N001359,2828682.538696,389234.421325
N001360,2828841.362271,389232.124597
N001361,2831000.835723,386826.012857
N001362,2831177.53308,388498.41988
N001363,2891774.504831,360741.214717
N001364,2887876.450787,359348.520306
N001365,2896016.633338,356938.319804
N001366,2898519.410434,355969.290889
N001367,2890126.398709,368322.60534
N001368,2889877.234594,354248.862276
N001369,2887568.850749,359824.19523
N001370,2889305.122634,361455.842605
N001371,2896702.94128,374778.760667
N001372,2896518.456305,374807.813424
N001373,2829962.766011,388153.902047
N001374,2830552.886725,387699.710461
N001375,2830388.569828,387221.926745
N001376,2830444.18058,387608.685683
N001377,2831327.81984,387894.363349
N001378,2828310.118989,389971.089755
N001379,2828126.634355,389715.490572
N001380,2825295.621006,388904.838926
N001381,2828379.620597,387549.572635
N001382,2828174.679948,387412.291859
N001383,2828720.73254,386634.370744
N001384,2828733.670754,386580.796348
N001385,2829205.827072,387055.248647
N001386,2828809.02252,386631.274072
N001387,2827402.056771,385820.865491
N001388,2827114.835581,386534.957074
N001389,2827820.484448,386440.586047
N001390,2752603.811579,419993.477278
N001391,2753806.698748,416943.159535
N001392,2751299.22948,423580.864213
N001393,2752050.656208,421558.327746
N001394,2828722.943252,386327.933867
N001395,2828715.771848,386393.521767
N001396,2829589.55667,389142.513309
N001397,2829576.352128,389149.434964
N001398,2829565.178496,389155.871275
N001399,2751999.532494,386600.446621
N001400,2753782.618194,388632.883695
N001401,2753786.18794,388199.976393
N001402,2785656.53276,402465.099541
N001403,2785738.685879,401855.378844
N001404,2754277.719768,385719.981768
N001405,2754248.936767,385112.893306
N001406,2760610.738474,385106.343557
N001407,2760662.727227,385878.866446
N001408,2756454.263636,394822.092203
N001409,2896656.040741,495363.496422
N001410,2899185.296313,503376.594684
N001411,2876221.670798,475994.722689
N001412,2875803.064593,484134.097195
N001413,2887332.404743,487502.160974
N001414,2886898.414308,497691.791309
N001415,2896784.837342,375544.074049
N001416,2897361.14225,375070.73271
N001417,2897576.65633,375741.243743
N001418,2897295.442575,375256.038657
N001419,2896838.934598,375294.214281
N001420,2755872.083588,496263.746158
N001421,2755842.059959,496283.781883
N001422,2753403.204705,476446.828539
N001423,2752141.950034,476529.794853
N001424,2896615.715086,374679.312332
N001425,2896484.247839,374664.579578
N001426,2897250.312788,375107.642587
N001427,2897271.137617,375126.102235
N001428,2896117.716415,373556.463903
N001429,2897079.471874,374278.167074
N001430,2894276.887588,371381.442825
N001431,2896267.357726,373978.026848
N001432,2895795.500868,374088.269438
N001433,2894966.037405,374788.518699
N001434,2895028.640768,375530.888461
N001435,2895899.151503,373583.510077
N001436,2896437.517149,374145.742086
N001437,2873191.17065,354770.057284
N001438,2880306.807504,358338.050822
N001439,2891606.526212,362853.802424
N001440,2815224.143291,418684.32228
N001441,2829645.533234,391513.836772
N001442,2830728.667788,391901.195591
N001443,2782416.956414,409831.346249
N001444,2782853.737461,409305.048066
N001445,2775382.956898,410349.322827
N001446,2775382.109737,407835.897606
N001447,2775175.308942,397093.343994
N001448,2775898.592517,396890.98057
N001449,2780633.526426,411289.48417
N001450,2781880.785071,410570.624985
N001451,2779218.126981,410910.962207
N001452,2780552.621164,411334.682889
N001453,2765535.657944,403958.044399
N001454,2784907.466372,404860.523527
N001455,2784882.641933,404817.186096
N001456,2775182.481144,397433.171822
N001457,2775182.82067,397283.730502
N001458,2779101.797385,410921.784413
N001459,2775696.469843,411047.183247
N001460,2764126.185929,403341.627578
N001461,2781899.595307,410510.864319
N001462,2783469.164837,408903.518892
N001463,2783509.686063,408882.111419
N001464,2782107.095882,410150.248249
N001465,2782151.981399,410136.72585
N001466,2782910.396366,409246.735504
N001467,2778179.035714,411208.390038
N001468,2766433.321844,404853.732959
N001469,2772492.657702,410203.318313
N001470,2771235.028259,416282.477855
N001471,2785371.404742,402761.103417
N001472,2782664.698361,400984.054747
N001473,2831583.857453,338980.459966
N001474,2835844.341069,331716.442816
N001475,2754172.2771,470462.592354
N001476,2753865.283463,470871.842231
N001477,2746049.748063,479041.09012
N001478,2746370.15938,477878.130594
N001479,2757977.360906,463539.181177
N001480,2755721.785829,466183.355235
N001481,2746055.98562,479016.857852
N001482,2746099.995699,478170.638573
N001483,2745055.381718,479614.874433
N001484,2744641.281941,479246.607179
N001485,2747538.389299,437905.584844
N001486,2747244.124444,437326.725712
N001487,2746945.883954,435956.970821
N001488,2740357.674542,436692.813409
N001489,2747748.513123,438899.369769
N001490,2750077.563301,436230.91526
N001491,2747208.042055,483393.769016
N001492,2744473.885081,485987.551971
N001493,2744679.054118,438865.633068
N001494,2746800.191738,436922.517106
N001495,2750246.928836,435157.458092
N001496,2747853.899434,433692.340866
N001497,2745756.655085,433675.743048
N001498,2750050.406281,436543.547368
N001499,2750789.16037,435832.592409
N001500,2750696.320091,435946.970895
N001501,2750754.721127,436013.573405
N001502,2750085.906559,436201.151151
N001503,2750637.119332,434859.97671
N001504,2750848.223169,435480.254587
N001505,2750624.672621,435854.878753
N001506,2750297.616213,435696.988163
N001507,2750463.539465,436055.821333
N001508,2747929.580268,434833.010924
N001509,2750235.317394,435215.29097
N001510,2746127.83379,480520.118839
N001511,2745374.743375,465178.953746
N001512,2744602.696501,464499.832317
N001513,2746167.142019,461049.991282
N001514,2745699.533283,459396.234668
N001515,2746044.510104,479056.047586
N001516,2745917.921742,479779.274956
N001517,2743777.609948,479368.24488
N001518,2744608.635443,478797.962832
N001519,2755042.532438,470744.472197
N001520,2755782.784038,472481.49821
N001521,2756545.393218,484117.275209
N001522,2754453.65496,483225.277747
N001523,2743150.873985,480001.879954
N001524,2743309.799792,479185.286949
N001525,2744981.505765,479502.238029
N001526,2744995.254368,479326.611046
N001527,2745250.66189,453824.249641
N001528,2748192.605568,455448.194098
N001529,2745772.296014,479315.073628
N001530,2746304.54146,479334.485067
N001531,2744633.116865,478683.145946
N001532,2744812.140259,477791.398797
N001533,2745479.130728,478786.446816
N001534,2745335.678775,479226.52138
N001535,2743949.592423,464438.755268
N001536,2742744.978092,463633.731419
N001537,2858931.794738,488481.189233
N001538,2858908.56578,488312.552425
N001539,2745490.667194,479850.507563
N001540,2889233.561535,379852.203538
N001541,2888994.421257,379138.010303
N001542,2898074.796421,437422.018768
N001543,2896734.873457,437444.180535
N001544,2889313.997301,370328.949199
N001545,2890115.922129,368310.299444
N001546,2888589.941839,376573.481335
N001547,2888612.507454,375838.487434
N001548,2888610.366862,379316.202816
N001549,2888902.054007,380727.084289
N001550,2889107.22393,371974.811737
N001551,2889114.766201,371937.804234
N001552,2888586.321832,379188.112998
N001553,2888585.592605,379141.383705
N001554,2888596.932261,379141.729022
N001555,2888599.111987,379188.521741
N001556,2893587.750808,367665.049267
N001557,2889136.28018,371496.045817
N001558,2889293.28338,370390.015208
N001559,2890675.509487,367556.946968
N001560,2890142.152887,368338.824579
N001561,2888617.800815,379144.172931
N001562,2888618.17981,379176.128097
N001563,2888716.792987,373864.71733
N001564,2888698.203587,374257.534023
N001565,2889077.336277,371918.634937
N001566,2889142.445006,371978.678429
N001567,2888901.087881,373026.086861
N001568,2893590.522149,367688.780923
N001569,2880766.912061,386698.989697
N001570,2880884.015568,386709.011528
N001571,2881242.676007,386798.394684
N001572,2877579.485362,382171.807831
N001573,2884765.067589,342912.341783
N001574,2884744.499747,343058.151607
N001575,2885066.647992,346241.422643
N001576,2885533.207606,346942.530692
N001577,2888052.99606,351335.351401
N001578,2882065.338373,338891.985662
N001579,2884205.880995,342101.760939
N001580,2883800.93321,352896.458215
N001581,2880315.125625,358248.340348
N001582,2884333.833422,356178.216826
N001583,2884216.6133,355944.777538
N001584,2892315.480852,453839.286974
N001585,2891846.705061,453335.514699
N001586,2898932.155685,452942.609876
N001587,2896368.264917,460869.521955
N001588,2897746.793345,455090.863519
N001589,2896563.60652,455065.15328
N001590,2896426.387525,455097.072722
N001591,2896365.044251,455112.748088
N001592,2892384.696946,453871.148134
N001593,2893044.858138,454233.00613
N001594,2892986.532497,454199.82755
N001595,2891776.042984,453302.664615
N001596,2880266.808197,457226.35088
N001597,2896683.039106,455628.227085
N001598,2878892.840347,331305.528188
N001599,2872264.583999,327282.869576
N001600,2882817.665358,340314.232176
N001601,2876394.858991,337816.039761
N001602,2884085.602151,345853.128433
N001603,2882405.890174,345417.977344
N001604,2881929.543677,338371.52848
N001605,2874930.129642,337519.576198
N001606,2755833.885737,380089.055354
N001607,2755016.156105,385372.126883
N001608,2757915.061361,343230.545708
N001609,2752909.712539,340711.656826
N001610,2744337.99468,414738.46649
N001611,2739824.653856,414815.730464
N001612,2762799.682476,427734.294889
N001613,2763175.926105,428647.797337
N001614,2749796.6846,400724.161936
N001615,2749178.217263,399068.428541
N001616,2749526.634592,400358.24562
N001617,2749147.428732,400816.927052
N001618,2764301.368602,435079.497409
N001619,2764315.291162,435120.87079
N001620,2749135.647315,400845.922531
N001621,2753850.906418,416725.238413
N001622,2763343.649759,429234.169601
N001623,2763363.182838,429307.212916
N001624,2750423.893305,437864.970807
N001625,2750414.571406,437916.097134
N001626,2753876.263925,416564.826622
N001627,2756455.50092,444305.188651
N001628,2756427.299732,444340.093415
N001629,2743345.303451,402709.413349
N001630,2755414.11039,414903.101272
N001631,2756144.149121,415564.921223
N001632,2763542.599269,429927.328219
N001633,2749475.537456,398064.695664
N001634,2751508.177868,436339.742122
N001635,2751373.738505,443209.536267
N001636,2750914.743914,442545.130226
N001637,2752508.665994,406280.12196
N001638,2748945.331898,392406.980291
N001639,2743312.501811,398331.305535
N001640,2745607.348024,391511.723422
N001641,2760265.88615,440906.352611
N001642,2757435.614016,345383.565577
N001643,2761564.85743,338289.009071
N001644,2760061.94816,338405.213126
N001645,2759918.900482,338351.455066
N001646,2759032.260213,341460.187388
N001647,2755889.203963,345079.023542
N001648,2755840.680012,345102.316827
N001649,2769546.409596,337224.565105
N001650,2769452.501789,337227.805825
N001651,2761718.824503,338241.598305
N001652,2770065.4274,336088.250474
N001653,2770045.837477,336072.988317
N001654,2757541.952554,345586.070124
N001655,2770315.97318,330858.735743
N001656,2770308.125529,330818.875541
N001657,2759002.558521,341535.340353
N001658,2770600.68039,336663.669882
N001659,2770327.234915,337327.150196
N001660,2768769.508204,334609.223619
N001661,2769658.779185,333642.843271
N001662,2770592.46437,328032.454158
N001663,2770938.518222,337473.814725
N001664,2757342.055726,344747.066896
N001665,2755071.169615,345469.271149
N001666,2773810.277355,338545.821247
N001667,2776817.71766,500265.091234
N001668,2776860.624474,499416.040926
N001669,2756289.575201,477844.991301
N001670,2756641.73447,484034.014635
N001671,2747253.455828,483170.777207
N001672,2747350.885741,483169.54226
N001673,2888532.544765,487559.301722
N001674,2890768.492313,489383.451352
N001675,2850539.051107,516319.481391
N001676,2870035.998955,495519.912256
N001677,2888360.959556,487578.104043
N001678,2885673.71489,488032.976561
N001679,2888350.417464,487565.566382
N001680,2888421.956784,487521.793376
N001681,2888429.706178,487536.277944
N001682,2888482.731969,487477.820534
N001683,2816830.514799,422974.346547
N001684,2816736.623876,426830.361759
N001685,2744687.863764,459478.117743
N001686,2744737.105259,459474.17951
N001687,2738073.720102,458888.229052
N001688,2751136.036776,458529.795788
N001689,2755172.959387,458713.433665
N001690,2755127.528017,458727.778371
N001691,2754160.786263,458654.866386
N001692,2751773.131016,458127.626674
N001693,2749099.257366,460364.704424
N001694,2761837.266495,455597.6708
N001695,2758109.468955,458828.406907
N001696,2762006.237203,455191.309374
N001697,2761989.590074,455236.615149
N001698,2889797.417362,484478.332378
N001699,2890936.251088,481774.781431
N001700,2888495.150177,487497.098578
N001701,2751118.764726,458492.489566
N001702,2751072.101446,457844.792552
N001703,2747065.434208,482871.484301
N001704,2747146.303794,483190.430207
N001705,2751127.675869,424699.756706
N001706,2785555.451973,328712.885852
N001707,2782448.439101,331027.186534
N001708,2784108.074709,332341.952324
N001709,2780116.098749,330690.833072
N001710,2779320.723246,331923.518408
N001711,2777641.944168,335430.720728
N001712,2777053.48808,335353.402658
N001713,2776255.735607,335373.051319
N001714,2742663.427563,333709.015094
N001715,2744375.416132,331074.564284
N001716,2894864.729539,373227.68409
N001717,2894878.063788,374278.238516
N001718,2894860.172479,376609.465385
N001719,2894925.885115,375476.915332
N001720,2894953.259405,368338.680971
N001721,2893899.628857,368604.442719
N001722,2894976.209696,374685.999648
N001723,2896017.463697,374144.706201
N001724,2895938.810348,374233.129753
N001725,2895474.848901,373150.509766
N001726,2896568.007767,375092.547793
N001727,2894942.363538,367274.29722
N001728,2890099.90683,377950.761301
N001729,2890834.677577,377982.074018
N001730,2896259.422697,374666.875423
N001731,2896524.445321,374893.185385
N001732,2897369.895956,377970.998053
N001733,2897937.611627,379126.577779
N001734,2895486.657305,377296.292577
N001735,2896211.666367,377501.913308
N001736,2896200.014047,377640.350628
N001737,2896706.899448,377563.576998
N001738,2896785.7498,377640.757641
N001739,2843562.761026,397399.547653
N001740,2843967.396364,397696.561107
N001741,2841452.042197,391260.106932
N001742,2844438.004577,398638.521637
N001743,2838490.983024,389663.072139
N001744,2838897.73407,389789.788491
N001745,2844028.545259,399123.629183
N001746,2843975.18632,399193.017628
N001747,2840028.345975,389702.468465
N001748,2839025.400887,389522.556643
N001749,2839327.622056,389696.564627
N001750,2839385.044131,389728.007722
N001751,2839285.015344,389649.6459
N001752,2837138.483646,384884.107736
N001753,2840338.592185,389204.107271
N001754,2829514.50213,389113.823094
N001755,2828894.844034,388788.215527
N001756,2828945.184813,388331.002768
N001757,2829557.44448,388342.95305
N001758,2829665.727304,388321.138616
N001759,2828749.781457,388224.418852
N001760,2828734.551977,388195.389759
N001761,2828834.618384,388198.459143
N001762,2829497.696425,388848.362932
N001763,2828923.910593,388024.405728
N001764,2829123.37101,387885.234923
N001765,2828816.365641,388193.152659
N001766,2828543.821431,387954.558989
N001767,2828337.081945,387714.731666
N001768,2829198.376392,387776.02007
N001769,2748585.709958,388511.568731
N001770,2747158.620223,388662.984494
N001771,2747186.093527,388630.4521
N001772,2748576.519693,388583.898285
N001773,2749656.434513,391663.484495
N001774,2748533.725249,388544.424594
N001775,2748626.19098,388460.582216
N001776,2751875.472004,386393.79981
N001777,2748565.960932,388513.288461
N001778,2748569.450356,388535.073265
N001779,2748571.952341,388509.183703
N001780,2743643.011806,390212.243037
N001781,2829621.614951,389292.470037
N001782,2828792.04074,388207.966854
N001783,2829013.465415,388480.709599
N001784,2828190.101283,387808.680679
N001785,2829913.054856,388158.19577
N001786,2829941.465088,388155.471033
N001787,2829326.1646,390066.316246
N001788,2828321.468942,387167.172784
N001789,2828494.875102,387305.666259
N001790,2829352.395815,387479.285008
N001791,2828622.253933,387298.334663
N001792,2829384.624341,390074.141433
N001793,2828515.248722,390802.762463
N001794,2828067.588916,388069.955763
N001795,2828185.015194,387778.680407
N001796,2829792.336835,388276.003343
N001797,2829816.152247,388339.144073
N001798,2828973.834859,390561.511729
N001799,2828509.608008,390918.151808
N001800,2828548.646094,391424.703866
N001801,2828667.929342,390945.957595
N001802,2828568.796536,390972.320245
N001803,2742925.060753,377653.075689
N001804,2744695.991002,377952.326816
N001805,2744732.478245,377966.670045
N001806,2749957.828197,383284.800148
N001807,2750771.926192,384602.994532
N001808,2751814.61488,386211.686768
N001809,2750028.641932,383488.670118
N001810,2750056.063729,383551.458195
N001811,2751820.890192,386241.643373
N001812,2750729.350854,384487.241949
N001813,2751871.057413,386434.861924
N001814,2751974.609833,386579.479881
N001815,2755530.46547,375745.981905
N001816,2755569.190703,373344.419888
N001817,2756799.386561,369538.82437
N001818,2757642.306037,367571.638843
N001819,2755826.566096,380097.819066
N001820,2755797.537632,380035.741854
N001821,2757737.35825,367469.441057
